X,Y,Z,Predicted_Corrosion_Rate
-19.5719624,12.0718699,-4.83682919,0.00864190291
-19.5705528,12.0718699,-4.76439571,0.00774858881
-19.5432072,12.0718699,-4.87709904,0.00930408757
-19.5404911,12.0718699,-4.72641754,0.0075174602
-19.5006275,12.0718699,-4.9064436,0.00915311768
-19.5006256,12.0718699,-4.69924212,0.00746087894
-19.4315147,12.0718699,-4.90501404,0.0094188352
-19.4315128,12.0718699,-4.70067167,0.00718074996
-19.3945866,12.0718699,-4.72838926,0.00695720308
-19.3919716,12.0718699,-4.87501955,0.00983552261
-19.3661633,12.0718699,-4.76443291,0.00787447508
-19.3647881,12.0718699,-4.836833,0.00931363396
